top,track_name,track_popularity,duration_ms,artist_name,artist_genres,artist_popularity,feats,explicit,album,type,relase_date,track_id,artist_id,duracion_mins_segs
1,ordinary,96,186964,Alex Warren,,90,,False,Ordinary,single,2025-02-07,6qqrTXSdwiJaq8SO0X2lSe,0fTSzq9jAh4c36UVb4V7CB,3:06
2,what i want ,75,184517,Morgan Wallen,country,95,Tate McRae,False,I’m The Problem,album,2025-05-16,48NthgcgfoRrWT8LtgW28A,4oUHIQIBe0LHzYfvXNW4QM,3:04
3,just in case,83,166206,Morgan Wallen,country,95,,False,Just In Case,single,2025-03-21,02Ya2Q08bBKFqUJvjmyRXK,4oUHIQIBe0LHzYfvXNW4QM,2:46
4,a bar song (tipsy),88,171291,Shaboozey,,82,,True,A Bar Song (Tipsy),single,2024-04-12,2FQrifJ1N335Ljm3TjTVVf,3y2cIKLjiOlp1Np37WiUdH,2:51
5,i'm the problem,79,177811,Morgan Wallen,country,95,,False,I'm The Problem,single,2025-01-31,3HlWVKwU0JqJXqJK9DWHnZ,4oUHIQIBe0LHzYfvXNW4QM,2:57
6,luther ,89,177598,Kendrick Lamar,hip hop,94,SZA,False,GNX,album,2024-11-22,45J4avUb9Ni0bnETYaYFVJ,2YZyLoL8N0Wb9xBt1NhZWg,2:57
6,luther ,89,177598,Kendrick Lamar,west coast hip hop,94,SZA,False,GNX,album,2024-11-22,45J4avUb9Ni0bnETYaYFVJ,2YZyLoL8N0Wb9xBt1NhZWg,2:57
7,manchild,97,213645,Sabrina Carpenter,,92,,True,Manchild,single,2025-06-05,42UBPzRMh5yyz0EDPr6fr1,74KM79TiuVKeVCqs8QtB0B,3:33
8,lose control,84,210688,Teddy Swims,,88,,False,Lose Control,single,2023-06-23,6usohdchdzW9oML7VC4Uhk,33qOK5uJ8AR2xuQQAhHump,3:30
9,die with a smile,96,251667,Lady Gaga,art pop,93,Bruno Mars,False,Die With A Smile,single,2024-08-16,2plbrEY59IikOBgBGLjaoe,1HY2Jd0NmPuamShAr6KMms,4:11
9,die with a smile,96,251667,Lady Gaga,pop,93,Bruno Mars,False,Die With A Smile,single,2024-08-16,2plbrEY59IikOBgBGLjaoe,1HY2Jd0NmPuamShAr6KMms,4:11
10,pink pony club,90,258034,Chappell Roan,,86,,False,The Rise and Fall of a Midwest Princess,album,2023-09-22,1k2pQc5i348DCHwbn5KTdc,7GlBOeep6PqTfFi59PTUUN,4:18
11,beautiful things,88,180304,Benson Boone,,89,,False,Beautiful Things,single,2024-01-18,6tNQ70jh4OwmPGpYy6R2o9,22wbnEMDvgVIAGdFeek6ET,3:00
12,love me not,90,213466,Ravyn Lenae,alternative r&b,81,,False,Love Me Not / Love Is Blind,single,2024-05-03,1UNEuG9DYOWiikf00ayr52,5RTLRtXjbXI2lSXc6jxlAz,3:33
12,love me not,90,213466,Ravyn Lenae,indie soul,81,,False,Love Me Not / Love Is Blind,single,2024-05-03,1UNEuG9DYOWiikf00ayr52,5RTLRtXjbXI2lSXc6jxlAz,3:33
13,i had some help ,86,178205,Post Malone,,90,Morgan Wallen,True,I Had Some Help,single,2024-05-10,7221xIgOnuakPdLqT0F3nP,246dkjvS1zLTtiykXe5h60,2:58
14,mutt,80,193333,Leon Thomas,,78,,True,MUTT,single,2024-08-09,1mh9eHVRdNhzryG43PXdW1,0nnBZ8FXWjG9wZgM2cpfeb,3:13
15,birds of a feather,99,210373,Billie Eilish,,95,,False,HIT ME HARD AND SOFT,album,2024-05-17,6dOtVTDdiauQNBQEDOtlAB,6qqNVTkY8uBg9cP3Jd7DAH,3:30
16,espresso,90,175459,Sabrina Carpenter,,92,,True,Espresso,single,2024-04-12,2qSkIjg1o9h3YT9RAgYN75,74KM79TiuVKeVCqs8QtB0B,2:55
17,mystical magical,90,165746,Benson Boone,,89,,False,Mystical Magical,single,2025-04-24,221eHga9f9Ne4f8D7WVgPT,22wbnEMDvgVIAGdFeek6ET,2:45
18,weren't for the wind,79,193666,Ella Langley,country,78,,False,weren't for the wind,single,2024-10-04,4v9alNvEjLjvqo4LNWwswl,6BRxQ8cD3eqnrVj6WKDok8,3:13
19,all the way ,87,165000,BigXthaPlug,southern hip hop,84,Bailey Zimmerman,True,All The Way (feat. Bailey Zimmerman),single,2025-04-04,73kIKvg65QWieOKXIwyLJP,6qxpnaukVayrQn6ViNvu9I,2:45
20,nokia,92,241023,Drake,rap,99,,True,$ome $exy $ongs 4 U,album,2025-02-14,2u9S9JJ6hTZS3Vf22HOZKg,3TVXtAsR1Inumwj472S9r4,4:01
21,i got better,62,204963,Morgan Wallen,country,95,,False,I’m The Problem,album,2025-05-16,4GBNnoGf1FgsPtsgghZ381,4oUHIQIBe0LHzYfvXNW4QM,3:24
22,sorry i'm here for someone else,85,156582,Benson Boone,,89,,False,Sorry I'm Here For Someone Else,single,2025-02-27,3x3K1RP3Zfi2qeMR8kyrNO,22wbnEMDvgVIAGdFeek6ET,2:36
